Energy(eV);Delta;Beta
1000.;0.00076960522;7.6907163E-05
1006.83929;0.000759036338;7.49552928E-05
1013.7254;0.000748612569;7.30529428E-05
1020.65863;0.000738333561;7.12010151E-05
1027.63916;0.000728196639;6.93970505E-05
1034.66748;0.000718199764;6.76344353E-05
1041.7439;0.000708342006;6.59082725E-05
1048.86877;0.000698619406;6.42260857E-05
1056.04236;0.000689015258;6.25739267E-05
1063.26489;0.000679543067;6.09640701E-05
1070.53687;0.000670194102;5.93961413E-05
1077.85852;0.000660969818;5.7868845E-05
1085.23035;0.000651870854;5.63805952E-05
1092.65271;0.000642892846;5.49302531E-05
1100.12561;0.000634038704;5.35172294E-05
1107.64966;0.000625301793;5.21396578E-05
1115.22534;0.000616684614;5.07974E-05
1122.85266;0.000608183793;4.94903543E-05
1130.5321;0.000599798281;4.82173855E-05
1138.26428;0.000591527612;4.69771367E-05
1146.04919;0.000583369285;4.57689748E-05
1153.88745;0.000575323356;4.45918813E-05
1161.77917;0.0005673868;4.34447938E-05
1169.72498;0.000559559325;4.2327134E-05
1177.7251;0.000551839243;4.12384179E-05
1185.77979;0.000544225215;4.0177878E-05
1193.88977;0.000536715961;3.91445756E-05
1202.05518;0.000529310433;3.8137754E-05
1210.27637;0.00052200706;3.71567985E-05
1218.55383;0.000514804677;3.62009159E-05
1226.88794;0.000507701654;3.52695715E-05
1235.27893;0.000500697584;3.43605425E-05
1243.72742;0.000493791129;3.34728902E-05
1252.23364;0.000486979989;3.26078516E-05
1260.7981;0.000480262446;3.17617378E-05
1269.42114;0.000473637512;3.09375828E-05
1278.10303;0.000467100501;3.01312648E-05
1286.84436;0.000460652402;2.93447374E-05
1295.64551;0.000454292051;2.85788537E-05
1304.50684;0.000448017672;2.78331299E-05
1313.42871;0.000441829849;2.7106842E-05
1322.41162;0.000435726368;2.6399488E-05
1331.45605;0.000429707114;2.57105876E-05
1340.56238;0.000423770369;2.50395551E-05
1349.73083;0.000417915377;2.43859649E-05
1358.96204;0.00041214106;2.37494914E-05
1368.25647;0.000406446052;2.31296981E-05
1377.61438;0.000400829827;2.25260865E-05
1387.03625;0.000395290874;2.19382291E-05
1396.52258;0.000389828434;2.13657313E-05
1406.07397;0.000384441722;2.08081274E-05
1415.69043;0.000379129662;2.02650535E-05
1425.3728;0.000373891002;1.97361242E-05
1435.12146;0.000368724839;1.92209973E-05
1444.93665;0.000363630126;1.87193164E-05
1454.81897;0.00035860663;1.82305557E-05
1464.76892;0.000353652635;1.77545371E-05
1474.78687;0.000348767295;1.7290633E-05
1484.87341;0.000343949563;1.68386232E-05
1495.02893;0.000339198567;1.63981003E-05
1505.25391;0.000334513898;1.5967762E-05
1515.54883;0.000329893897;1.55487069E-05
1525.91406;0.000325336965;1.51404702E-05
1536.35034;0.000320842781;1.47429164E-05
1546.85791;0.000316410908;1.43557872E-05
1557.43726;0.000312040444;1.39787926E-05
